Mostres_ESP32,Valor1_mV, Valor2_mV
1528,141, 539
1529,138, 539
1530,131, 536
1531,138, 538
1532,131, 533
1533,134, 535
1534,132, 532
1535,127, 533
1536,126, 522
1537,129, 529
1538,124, 529
1539,122, 526
1540,127, 507
1541,124, 524
1542,119, 519
1543,123, 519
1544,121, 519
1545,119, 517
1546,119, 517
1547,123, 517
1548,121, 517
1549,115, 519
1550,121, 517
1551,123, 512
1552,122, 519
1553,125, 519
1554,125, 516
1555,119, 517
1556,127, 519
1557,123, 517
1558,131, 529
1559,131, 527
1560,130, 519
1561,131, 523
1562,127, 543
1563,132, 525
1564,131, 524
1565,130, 525
1566,137, 529
1567,135, 517
1568,135, 533
1569,133, 533
1570,133, 535
1571,139, 535
1572,139, 536
1573,136, 540
1574,133, 540
1575,139, 539
1576,145, 540
1577,135, 546
1578,142, 541
1579,143, 548
1580,148, 543
1581,138, 547
1582,145, 547
1583,144, 535
1584,143, 548
1585,144, 542
1586,144, 547
1587,139, 543
1588,141, 540
1589,139, 541
1590,139, 548
1591,137, 537
1592,127, 549
1593,137, 533
1594,133, 535
1595,129, 535
1596,126, 527
1597,130, 529
1598,126, 530
1599,127, 525
1600,124, 523
1601,127, 514
1602,121, 524
1603,130, 521
1604,118, 516
1605,128, 519
1606,122, 519
1607,125, 515
1608,123, 516
1609,121, 513
1610,117, 516
1611,125, 516
1612,122, 506
1613,121, 513
1614,123, 518
1615,120, 519
1616,119, 509
1617,124, 519
1618,125, 515
1619,123, 519
1620,130, 524
1621,131, 519
1622,128, 522
1623,129, 517
1624,122, 527
1625,132, 522
1626,133, 525
1627,128, 527
1628,134, 529
1629,131, 529
1630,137, 538
1631,139, 533
1632,140, 539
1633,141, 537
1634,134, 524
1635,139, 545
1636,140, 533
1637,145, 537
1638,139, 542
1639,144, 545
1640,137, 548
1641,149, 547
1642,142, 548
1643,141, 546
1644,145, 545
1645,144, 545
1646,144, 551
1647,140, 548
1648,140, 543
1649,139, 540
1650,141, 539
1651,138, 526
1652,133, 536
1653,129, 533
1654,134, 529
1655,129, 537
1656,127, 532
1657,128, 532
1658,132, 530
1659,126, 529
1660,125, 529
1661,123, 516
1662,123, 523
1663,126, 527
1664,124, 523
1665,120, 519
1666,125, 519
1667,119, 513
1668,119, 517
1669,121, 515
1670,122, 512
1671,118, 518
1672,120, 517
1673,124, 514
1674,123, 524
1675,124, 518
1676,126, 514
1677,122, 516
1678,123, 517
1679,127, 515
1680,127, 517
1681,117, 521
1682,128, 519
1683,125, 524
1684,129, 521
1685,125, 513
1686,130, 522
1687,138, 529
1688,129, 527
1689,136, 523
1690,139, 527
1691,130, 532
1692,132, 531
1693,139, 535
1694,138, 536
1695,135, 537
1696,136, 536
1697,139, 552
1698,145, 539
1699,139, 546
1700,141, 545
1701,139, 535
1702,144, 540
1703,141, 543
1704,141, 547
1705,145, 537
1706,138, 547
1707,143, 545
1708,139, 542
1709,138, 547
1710,136, 549
1711,137, 526
1712,136, 540
1713,130, 540
1714,130, 547
1715,135, 541
1716,137, 531
1717,133, 533
1718,126, 531
1719,132, 531
1720,127, 530
1721,130, 529
1722,122, 525
1723,123, 524
1724,127, 522
1725,121, 522
1726,125, 524
1727,120, 519
1728,118, 519
1729,118, 518
1730,119, 516
1731,125, 516
1732,118, 519
1733,120, 508
1734,119, 523
1735,125, 517
1736,120, 517
1737,126, 519
1738,120, 521
1739,127, 518
1740,121, 523
1741,119, 514
1742,125, 524
1743,128, 522
1744,125, 519
1745,125, 523
1746,126, 527
1747,133, 524
1748,135, 524
1749,128, 529
1750,138, 519
1751,136, 527
1752,133, 531
1753,133, 535
1754,140, 532
1755,139, 533
1756,132, 539
1757,136, 540
1758,142, 526
1759,140, 540
1760,133, 546
1761,140, 546
1762,139, 546
1763,145, 542
1764,139, 548
1765,140, 545
1766,145, 542
1767,145, 549
1768,139, 547
1769,139, 547
1770,140, 547
1771,138, 564
1772,144, 546
1773,140, 538
1774,133, 536
1775,133, 541
1776,135, 538
1777,130, 533
1778,127, 533
1779,127, 533
1780,133, 527
1781,129, 529
1782,125, 527
1783,126, 523
1784,125, 519
1785,119, 522
1786,122, 519
1787,121, 516
1788,127, 517
1789,118, 523
1790,124, 518
1791,121, 518
1792,123, 515
1793,121, 517
1794,120, 516
1795,119, 516
1796,127, 516
1797,121, 519
1798,122, 498
1799,112, 517
1800,124, 517
1801,122, 513
1802,125, 516
1803,123, 502
1804,129, 519
1805,129, 521
1806,124, 524
1807,126, 527
1808,133, 522
1809,135, 527
1810,130, 529
1811,131, 527
1812,139, 533
1813,139, 529
1814,132, 535
1815,139, 535
1816,139, 535
1817,135, 537
1818,135, 542
1819,137, 540
1820,147, 546
1821,147, 540
1822,140, 542
1823,145, 546
1824,149, 552
1825,144, 546
1826,140, 545
1827,147, 541
1828,145, 547
1829,139, 543
1830,139, 545
1831,140, 547
1832,135, 540
1833,141, 540
1834,137, 541
1835,138, 540
1836,131, 536
1837,136, 536
1838,139, 536
1839,127, 533
1840,127, 531
1841,130, 533
1842,127, 529
1843,123, 525
1844,116, 517
1845,127, 519
1846,120, 522
1847,121, 523
1848,115, 517
1849,125, 519
1850,120, 518
1851,120, 521
1852,124, 505
1853,122, 512
1854,126, 517
1855,122, 517
